year,ICE_Enforcement_Removal_Area,Total
2018,"Salt Lake City, UT",5754
2018,"San Antonio, TX",10749
2018,"San Diego, CA",6000
2018,"San Francisco, CA",6210
2018,"Seattle, WA",3067
2018,"Washington, 0C",4359
2018,Headquarters,5
2018,Unknown,247
2019,Total administrative arrests,143099
2019,"Atlanta, GA",13247
2019,"Baltimore, MD",1450
2019,"Boston, MA",2469
2019,"Buffalo, NY",1287
2019,"Chicago, IL",8427
2019,"Dallas, TX",16900
2019,"Denver, CO",2408
2019,"Detroit, MI",3318
2019,"El Paso, TX",2270
2019,"Houston, TX",11584
2019,"Los Angeles, CA",6657
2019,"Miami, FL",9512
2019,"New Orleans, LA",9831
2019,"New York, NY",2477
2019,"Newark, NJ",2903
2019,"PhilaDelphia, PA",4096
2019,"Phoenix, AZ",5904
2019,"Saint Paul, MN",4340
2019,"Salt Lake City, UT",5382
2019,"San Antonio, TX",11780
2019,"San Diego, CA",2280
2019,"San Francisco, CA",5098
2019,"Seattle, WA",2550
2019,"Washington, 0C",4276
2019,Headquarters,4
2019,Unknown,873
2020,Total administrative arrests,103603
2020,"Atlanta, GA",10146
2020,"Baltimore, MD",0
2020,"Boston, MA",1604
2020,"Buffalo, NY",930
2020,"Chicago, IL",6211
2020,"Dallas, TX",14630
2020,"Denver, CO",1433
2020,"Detroit, MI",2508
2020,"El Paso, TX",1674
2020,"Houston, TX",10172
2020,"Los Angeles, CA",4383
2020,"Miami, FL",7397
2020,"New Orleans, LA",6342
2020,"New York, NY",1517
2020,"Newark, NJ",2099
2020,"PhilaDelphia, PA",2826
2020,"Phoenix, AZ",4262
2020,"Saint Paul, MN",3138
2020,"Salt Lake City, UT",3473
2020,"San Antonio, TX",7659
2020,"San Diego, CA",1309
2020,"San Francisco, CA",3457
2020,"Seattle, WA",1525
2020,"Washington, 0C",2885
2020,Headquarters,0
2020,Unknown,2649
